English,Russian,Level,Topic,POS,Example,Example_ru,Freq,Test_Example,Test_Example_ru
trick,"уловка, трюк, хитрость",B2,others,verb,to trick someone into doing something,"обмануть кого-то, чтобы сделать что-то",21911.0,The trick is on what one emphasizes,"Вся хитрость в том, на чем ставить акцент."
blessing,благословение,B2,others,noun,Count your blessings.,Подсчитайте свои благословения.,21911.0,A blessing to be thankful for,Это благословение и я так за него благодарен.
bulk,большая часть,B2,others,noun,bulk of the work,основная часть работы,21911.0,"Here, stand behind this bulk","Стань здесь, за выступом, и жди."
circumstance,"условие, положение, ситуация",B2,others,noun,under certain circumstances,в определенных обстоятельствах,21911.0,This circumstance is not in any way special,"Нет, эта ситуация ни в коем случае не является особенной."
desperately,отчаянно,B2,others,adverb,She desperately needed help.,Она отчаянно нуждалась в помощи.,21911.0,People seem to need them desperately,"Складывается впечатление, что люди отчаянно в них нуждаются."
likelihood,"вероятность, вероятие",B2,others,noun,There is a high likelihood of rain today.,Сегодня высока вероятность дождя.,21911.0,We analyse this information to assess the likelihood of non-payment,"В дальнейшем эти сведения могут быть использованы для того, чтобы оценить вероятность неплатежей."
optimum,оптимальный,B2,others,adjective,optimum performance,оптимальная производительность,21911.0,An optimum range per species can thus be distinguished for all elements and ratios,"Таким образом можно определить оптимальный уровень содержания всех элементов для каждой породы деревьев, а также соответствующие коэффициенты."
questionable,сомнительный,B2,others,adjective,questionable behavior,сомнительное поведение,21911.0,"Okay, that is in questionable taste","Ладно, эта штука и впрямь в сомнительном вкусе."
myth,миф,B2,others,noun,debunking a myth,разоблачение мифа,21910.0,"Of course, that myth eventually was dispelled","Но, в конечном итоге, этот миф был развеян."
realization,осознание,B2,others,noun,the realization of a dream,осуществление мечты,21910.0,That realization hits most people around 23,Это осознание ударяет в голову большинства людей около 23-х лет.
recalled,"напомнил, напоминает, напомнить",B2,others,verb,recalled a childhood memory,вспомнил детскую память,21910.0,recalled a childhood memory,вспомнил детскую память
delight,"восторг, восхищение",B2,others,noun,a source of great pleasure,источник большого удовольствия,21910.0,It surprises us and increases our delight,"И это нас восхищает, приводит в восторг и внушает нам трепет."
endurance,"выносливость, прочность, стойкость",B2,others,noun,physical or mental stamina,физическая или умственная выносливость,21910.0,Cell phone throwing and sauna endurance contests,"Метание мобильных телефонов, соревнование на выносливость в сауне."
favour,"одолжение, благосклонность, милость",B2,others,noun,ask for a favour,просить о помощи,21910.0,If you can do me a favour sometime,"Надеюсь, и ты не откажешь мне в одолжении, когда-нибудь."
outset,начало,B2,others,noun,from the outset,с самого начала,21910.0,"This trial, since the outset, has not bothered me",С самого начала этот процесс не беспокоил меня.
supplementary,"дополнительный, вспомогательный",B2,others,adjective,supplementary materials,дополнительные материалы,21910.0,"Who knows, you might even acquire some supplementary income","И, кто знает, может быть, вы будете иметь дополнительный доход."
unsuccessful,"неудачный, безуспешный, неуспешный",B2,others,adjective,an unsuccessful attempt,неудачная попытка,21910.0,"Unfortunately, we were unsuccessful this year","К сожалению, в этом году мы выступили неудачно."
beforehand,заранее,B2,others,adverb,plan beforehand,планировать заранее,21910.0,Clinton must have known this beforehand,"Клинтон, вероятно, заранее знала об этом."
initiate,инициировать,B2,others,verb,to initiate a conversation,начать разговор,21910.0,You can then initiate a chat session with that individual,В этом случае пользователь может инициировать сеанс чата с этим конкретным лицом.
insight,"проницательность, интуиция, прозорливость",B2,others,noun,gain insight into,получить понимание,21910.0,"While divine or spiritual insight is a gift, human wisdom must evolve","В то время как божественная, или духовная, проницательность является даром, человеческая мудрость должна эволюционировать."
promptly,"быстро, оперативно, стремительно",B2,others,adverb,He responded promptly to the email.,Он незамедлительно ответил на письмо.,21910.0,2017 saw me promptly forget all about it,"Но 2017 год быстро прошёл, и об этом все забыли."
varying,изменение,B2,others,adjective,varying opinions,различные мнения,21910.0,With age often comes varying health problems,"К сожалению, с возрастом довольно часто возникают различные проблемы со здоровьем."
inability,"неспособность, невозможность, неумение",B2,others,noun,overcome his inability to swim,преодолеть свою неспособность плавать,21909.0,"But still, his inability to act persisted","Но, тем не менее, его неспособность действовать сохранилась."
stationary,неподвижный,B2,others,adjective,stationary bike,стационарный велосипед,21909.0,Looks more like he was stationary,"Больше похоже на то, что он был неподвижен."
trivial,"тривиальный, банальный",B2,others,adjective,a trivial matter,пустяковое дело,21909.0,This seemingly trivial case is not very usual at a closer look,"Такой, казалось бы, банальный случай оказывается не таким уж обычным при ближайшем рассмотрении."
undesirable,нежелательный,B2,others,adjective,an undesirable outcome,нежелательный результат,21909.0,He was deported in 1955 as an undesirable alien,В феврале 1935 г. выслан из страны как нежелательный иностранец.
criterion,"критерий, условие",B2,others,noun,selection criteria for job,критерии отбора для работы,21909.0,Another important criterion is its composition,Другой важный критерий - это его кадровый состав.
duplicate,"дублировать, повторить, дублироваться",B2,others,noun,duplicate of the original,дубликат оригинала,21909.0,duplicate of the original,дубликат оригинала
elimination,"устранение, ликвидация, уничтожение",B2,others,noun,elimination of waste,устранение отходов,21909.0,Reduction or elimination of government subsidies,З) устранение или снижение государственных субсидий сельскому хозяйству.
narrative,"повествование, нарратив, рассказ",B2,others,noun,a compelling narrative,захватывающий рассказ,21909.0,a compelling narrative,захватывающий рассказ
pursued,преследуемый,B2,others,verb,pursued a career,преследовал карьеру,21909.0,This task is being actively pursued,В настоящее время ведется активная работа по выполнению этой задачи.
tempted,"соблазн, искушение, склонны",B2,others,adjective,I'm tempted to eat dessert.,Мне хочется съесть десерт.,21909.0,I'm tempted to eat dessert.,Мне хочется съесть десерт.
therapist,"терапевт, физиотерапевт, психотерапевт",B2,others,noun,mental health therapist,терапевт психического здоровья,21909.0,My therapist says I'm insecure,"Мой терапевт говорит, что я неуверенна в себе."
underway,"ведутся, ведется, идет",B2,others,adjective,construction work is underway,строительные работы в процессе,21909.0,construction work is underway,строительные работы в процессе
willingness,"готовность, желание, стремление",B2,others,noun,showed willingness to help,проявил готовность помочь,21909.0,All it takes is willingness to play,"Всё, что нужно, - это желание поиграть."
delete,"удалить, вычеркивать, удаляться",B2,others,verb,to delete a file,удалить файл,21909.0,You can delete the unnecessary ones,"Тем не менее, вы можете удалить некоторые ненужные."
edit,"редактировать, отредактировать, править",B2,others,verb,to edit a document,редактировать документ,21909.0,I still cannot edit my profile,"Кроме того, я не могу редактировать свой профиль."
illustrate,иллюстрировать,B2,others,verb,to illustrate a point,иллюстрировать точку зрения,21909.0,That might illustrate what you're saying,"И это как раз, видимо, иллюстрирует то, что Вы говорите."
nightmare,кошмар,B2,others,noun,I had a nightmare last night.,У меня был кошмар прошлой ночью.,21909.0,It was a nightmare (laughter),"В общем, это был кошмар (смеется)."
prompt,"срочный, незамедлительный, скорейший",B2,others,noun,Follow the prompt.,Следуйте указанию.,21909.0,A prompt answer says a lot,"Знаете, такая быстрая реакция о многом говорит."
radically,"радикально, кардинально",B2,others,adverb,radically change,радикально изменить,21909.0,"If we did, our lives would be radically different","Если бы этого не случилось, моя жизнь была бы радикально другой»."
urgently,"срочно, безотлагательно, настоятельно",B2,others,adverb,I need your help urgently.,Мне срочно нужна твоя помощь.,21909.0,I need to speak to him urgently,"Дело в том, что мне надо с ним срочно поговорить."
admired,восхищался,B2,others,adjective,an admired artist,восхищаемый художник,21908.0,He is someone I have long admired,"Он игрок, которым я восхищался в течение долгого времени."
anticipate,"предвидеть, предугадывать, прогнозировать",B2,others,verb,I anticipate a successful outcome.,Я предвижу успешный результат.,21908.0,"You cannot anticipate that, he added","Поэтому его прогнозировать никак нельзя», - добавил он."
antique,древний,B2,others,adjective,antique furniture,антикварная мебель,21908.0,"It looks antique, maybe theatrical","Она выглядит антикварной, возможно, использовалась в театре."
beaten,"избитый, взбитый, избили",B2,others,verb,beaten path,избитая тропа,21908.0,beaten path,избитая тропа
lowered,пониженный,B2,others,verb,lowered his voice,понизил голос,21908.0,And we saw her lowered into the ground,Мы видим его плавающим на поверхности и лежащим на дне.
odds,"шансы, вероятность",B2,others,noun,beat the odds,победить вероятность,21908.0,That's good odds for them surviving Infinity War,"Это дает хорошие шансы на то, что они выживут в «Войне бесконечности»."
revenge,"месть, реванш, мщение",B2,others,noun,seek revenge,искать месть,21908.0,She took revenge for the person she had been,"То есть это была месть за то, кем она является."
approve,одобрять,B2,others,verb,approve a proposal,одобрить предложение,21908.0,"President Trump must not approve this arms deal, she said","Президент Трамп не должен одобрять эту сделку о торговле оружием», - продолжила она."
contradict,противоречить,B2,others,verb,He contradicted her statement.,Он противоречил ее утверждению.,21908.0,We shall confuse and contradict each other,Так мы будем только мешать и противоречить друг другу.
impulse,"импульс, толчок",B2,others,noun,follow your impulses,следовать своим импульсам,21908.0,That impulse I did not control,"Ну да, этот импульс я не подавлял."
loosen,"ослаблять, ослабить, ослабнуть",B2,others,verb,to loosen a knot,развязать узел,21908.0,One beer or two loosen the tongue,Одно пиво или два ослабить язык.
outright,"прямой, откровенный, открытый",B2,others,adverb,He denied the accusation outright.,Он категорически отрицал обвинение.,21908.0,He denied the accusation outright.,Он категорически отрицал обвинение.
persist,упорствовать,B2,others,verb,to persist in one's efforts,упорно продолжать свои усилия,21908.0,Diarrhoea can persist for a week,"Диарея, которая может продолжаться на протяжении недели."
bothered,"беспокоило, беспокоит, беспокоили",B2,others,adjective,I'm bothered by the noise.,Меня беспокоит шум.,21908.0,I'm bothered by the noise.,Меня беспокоит шум.
dissolved,"растворенный, распущен, распущена",B2,others,verb,The sugar dissolved in the water.,Сахар растворился в воде.,21908.0,The sugar dissolved in the water.,Сахар растворился в воде.
inverted commas,кавычки,B2,others,noun,Use inverted commas for quotations.,Используйте кавычки для цитат.,21908.0,"Spaces are used to separate words, inverted commas ( ) can be used to search for entire character strings (not an index search)","Пробелы используются для разделения слов, кавычки ( ) можно использовать для поиска целых последовательностей символов (не индексный поиск)."
limitation,ограничение,B2,others,noun,There are limitations to what we can achieve.,"Есть ограничения в том, что мы можем достичь.",21908.0,"Unfortunately, this limitation cannot be changed either","К сожалению, это ограничение также не может быть изменено."
relevance,"актуальность, значимость, важность",B2,others,noun,relevance of the information,актуальность информации,21908.0,Over time massage health relevance only increases,С течением времени актуальность массажа для здоровья только возрастает.
subscription,подписка,B2,others,noun,monthly magazine subscription,ежемесячная подписка на журнал,21908.0,"As with DVB-T, no subscription is required","Как и в случае с DVB-T, подписка не требуется»."
possessed,"хладнокровный, владеющий собой, одержимый",B2,others,adjective,possessed by evil spirits,обладаемый злыми духами,21907.0,All they possessed would be his,"Он хочет, чтобы все, чем он владеет, было только его."
evidently,очевидно,B2,others,adverb,He was evidently upset.,Он явно расстроен.,21907.0,These hieroglyphics have evidently a meaning,"Эти иероглифы, очевидно, имеют какой-нибудь смысл."
preceding,предшествующий,B2,others,adjective,preceding paragraph,предыдущий абзац,21907.0,Celebrated on the last Monday preceding May 25,"Она же и установила торжество в понедельник, предшествующий 25 мая."
reinforce,усиливать,B2,others,verb,to reinforce a concept,укреплять понятие,21907.0,"By resisting it, you actually reinforce it","Отстраняясь от Борца в себе, вы, фактически, укрепили это."
absent,"отсутствующий, несуществующий, невнимательный",B2,others,adjective,absent from school,отсутствующий в школе,21907.0,absent from school,отсутствующий в школе
assembled,собранный,B2,others,verb,assembled a team,собрал команду,21907.0,You get a perfectly assembled product,"В любом случае, мы сталкиваемся с идеально собранным продуктом."
failing,неудача,B2,others,noun,failing grades,неудачные оценки,21907.0,"Don't worry about failing, failing is expected, but try to pay attention to how you're doing it","Не переживайте о неудаче, неудача ожидаема, но постарайтесь обратить внимание на то, как это происходит."
feasible,"осуществимый, выполнимый, достижимый",B2,others,adjective,a feasible solution,возможное решение,21907.0,Skeptics doubt that this is feasible,"Скептики сомневаются в том, что это возможно."
pointless,"бессмысленный, бесцельный, бесполезный",B2,others,adjective,a pointless argument,бесполезный аргумент,21907.0,But I knew it was pointless,"Хотелось. Но я знал, что это бесполезно."
praised,"похвалил, высоко оценил, высоко оценили",B2,others,verb,She praised his performance.,Она похвалила его выступление.,21907.0,She praised his performance.,Она похвалила его выступление.
refusal,отказ,B2,others,noun,She received a refusal letter.,Она получила письмо с отказом.,21907.0,"If subpoenaed, refusal is evident","Если вызвать его в суд, отказ очевиден."
contradiction,"противоречие, несоответствие, разногласие",B2,others,noun,a glaring contradiction,явное противоречие,21907.0,Here this contradiction disappears at once,"Фактически, это противоречие исчезает в один момент."
assurance,гарантия,B2,others,noun,give assurance,дать уверенность,21907.0,Each of us needs such an assurance,"Естественно, каждое из них нуждается в таком обеспечении."
beware,"остерегаться, опасаться",B2,others,verb,Beware of dogs,Остерегайтесь собак,21907.0,The players have to beware any betrayal as the gameplay stresses the relationship between influential persons,"Игроки должны остерегаться любого предательства, поскольку геймплей подчеркивает взаимосвязь между влиятельными людьми."
broadly,"широко, обширно",B2,others,adverb,broadly speaking,в общих чертах,21907.0,Netflix is also broadly available internationally,Netflix является также широко доступны на международном уровне.
certainty,уверенность,B2,others,noun,There is no certainty in life.,В жизни нет никакой уверенности.,21907.0,My certainty about anything has decreased,Моя уверенность в чем бы то ни было уменьшилась.
delayed,"отсроченный, отложенный, задержка",B2,others,adjective,delayed flight,задержанный рейс,21907.0,delayed flight,задержанный рейс
impress,впечатление,B2,others,verb,to impress someone,впечатлить кого-то,21907.0,Now you can REALLY impress your friends,Теперь вы действительно сможете произвести впечатление на своего коллегу.
intentional,умышленный,B2,others,adjective,intentional mistake,намеренная ошибка,21907.0,"These are intentional, repeated attacks","Под ними понимается умышленное, неоднократное нанесение ударов."
compensate,возмещать,B2,others,verb,to compensate for a loss,компенсировать убыток,21906.0,It reduces the cost of insurance if you decide that in case of any emergency situation you will partially compensate the damage yourself,"Она уменьшает стоимость страховки, если вы принимаете решение, что в случае какой-то аварийной ситуации частично будете возмещать ущерб сами."
excessively,чрезмерно,B2,others,adverb,She eats excessively.,Она ест чрезмерно.,21906.0,"However, they can be excessively submissive in other situations","Тем не менее, они могут быть чрезмерно покорны в других ситуациях."
revert,"возвращаться к мысли, возвращаться",B2,others,verb,to revert to previous version,вернуться к предыдущей версии,21906.0,Please review this and revert asap,Прошу разобраться в данной проблеме и восстановить асфальтовое покрытие.
stimulation,возбуждение,B2,others,noun,mental stimulation,умственное воздействие,21906.0,"Once the stimulation stopped, the emotion would also stop","Предположим теперь, что возбуждение прекратилось, тогда, разумеется, прекратится и ощущение."
wax,"воск, восковой",B2,others,noun,wax sculpture,восковая скульптура,21906.0,During the conversion period the wax shall be replaced with wax coming from organic beekeeping,"Во время переходного периода воск должен заменяться воском, полученным в органическом пчеловодстве."
secretly,"тайно, скрытно, тайком",B2,others,adverb,She secretly planned a surprise party.,Она тайно запланировала сюрприз-вечеринку.,21906.0,I thought you secretly hated me,"Я думал, что ты тайно ненавидишь меня."
stimulus,"стимул, толчок",B2,others,noun,The stimulus for change,Стимул для изменений,21906.0,This in turn is a stimulus for new car realization,"Для компании это, в свою очередь, стимул для реализации новых автомобилей."
appreciation,"признательность, благодарность",B2,others,noun,expressing gratitude or admiration,выражение благодарности или восхищения,21906.0,They need appreciation for who they are,"Они нуждаются в благодарность за то, кем они являются."
await,ждать,B2,others,verb,awaiting the results,ожидание результатов,21906.0,Around noon we await our car,Примерно в это же время можно ждать машину и у нас.
grammar,грамматика,B2,others,noun,Understanding grammar is essential.,Понимание грамматики является важным.,21906.0,"After all, grammar exists to preserve clarity","В конце концов, грамматика существует, чтобы сохранить ясность."
insane,безумный,B2,others,adjective,He's insane!,Он сумасшедший!,21906.0,"Mom, I know it seems insane","Мам, я знаю, что это звучит безумно."
simplify,"упрощать, упростить, облегчать",B2,others,verb,to simplify a process,упростить процесс,21906.0,They are designed to simplify our work with the database,"Они предназначены для того, чтобы упростить нам работу с нашей базой данных."
timing,синхронизация,B2,others,noun,perfect timing,идеальное время,21906.0,"It takes timing, tact, finesse","На это нужно время, здравый смысл, мастерство."
indifferent,"безразличный, равнодушный, индифферентный",B2,others,adjective,indifferent to the outcome,равнодушный к результату,21905.0,Because the last thing this world needs is one more indifferent person,"Потому что последнее, в чем нуждается этот мир, это еще один равнодушный человек."
projection,"проект, проекция",B2,others,noun,financial projection,финансовое прогнозирование,21905.0,It is a projection of their own reality,На самом деле это всего лишь проекция их собственной реальности.
readiness,"готовность, боеготовность, подготовленность",B2,others,noun,preparedness for action,готовность к действию,21905.0,preparedness for action,готовность к действию
shaft,ствол,B2,others,noun,golf club,гольф-клюшка,21905.0,I want every vent shaft checked,"Я хочу, чтобы проверили каждую вентиляционную шахту."
acknowledged,"признанный, общепризнанный, осознанный",B2,others,adjective,acknowledged expert in the field,признанный эксперт в области,21905.0,acknowledged expert in the field,признанный эксперт в области
coincide,совпадать,B2,others,verb,Our schedules coincided perfectly.,Наши графики совпали идеально.,21905.0,The two dates may not coincide,В результате эти две даты могут не совпадать.
exceptionally,"исключительно, необыкновенно, чрезвычайно",B2,others,adverb,exceptionally talented musician,исключительно талантливый музыкант,21905.0,He and his group are exceptionally skilled,Он и его сотрудники зарекомендовали себя исключительно с положительной стороны».
inquiry,запрос,B2,others,noun,conduct an inquiry,провести расследование,21905.0,"For more details, pls send inquiry below","Для более подробной информации, пожалуйста, отправьте запрос ниже."
reminder,"напоминание, памятка",B2,others,noun,Don't forget the reminder.,Не забудь напоминание.,21905.0,This is just a reminder that..,"Это всего лишь напоминание о том, что..."
rightly,"правильно, справедливо, верно",B2,others,adverb,She was rightly praised for her achievements.,Ей справедливо восхваляли ее достижения.,21905.0,Not all have been rightly judged,"А также, что не все были справедливо осуждены."
upward,"вверх, кверху, наверх",B2,others,adverb,look upward for inspiration,смотреть вверх для вдохновения,21905.0,It also can flow upward by capillary effect,"Возможно, она засасывается вверх как раз при помощи капиллярного эффекта."
clarify,"уточнить, уточнять",B2,others,verb,Can you clarify your statement?,Можете ли вы уточнить свое заявление?,21905.0,You can clarify it in your Bank,Но вы можете уточнить этот вопрос в своём банке.
enclosed,"закрытый, заключенный, замкнутый",B2,others,adjective,enclosed space,закрытое пространство,21905.0,enclosed space,закрытое пространство
misunderstanding,"недопонимание, недоразумение, непонимание",B2,others,noun,There was a misunderstanding.,Было недопонимание.,21905.0,Such misunderstanding could instigate physical and verbal abuse,Такое непонимание может приводить к физическому насилию и оскорблениям в устной форме.
pursuit,"преследование, погоня",B2,others,noun,the pursuit of happiness,поиск счастья,21905.0,Wulf said Domingo's pursuit seemingly had no bounds,"Вульф сказала, что преследование Доминго, похоже, не имело границ."
satisfactory,"удовлетворительный, приемлемый",B2,others,adjective,a satisfactory solution,удовлетворительное решение,21905.0,The UAE received satisfactory status in its last review in 2008,"Отметим, что ОАЭ получили удовлетворительный статус в ходе своего последнего обзора в 2008 году."
sporting,спортивный,B2,others,adjective,sporting event,спортивное событие,21905.0,"We prioritise high-quality workmanship, modern technology and true sporting spirit","Наши главные ценности - высочайшее качество, современные технологии и подлинный спортивный дух."
summary,"резюме, сводка",B2,others,noun,write a summary of the article,написать краткое изложение статьи,21905.0,"English summary included, p. 189","Имеется резюме на английском языке, стр. 189."
unreliable,"ненадежный, недостоверный, неблагонадежный",B2,others,adjective,an unreliable source,ненадежный источник,21905.0,They insisted that Matthew is an unreliable source,"Кроме того, они утверждают, что Мэтью - недостоверный источник информации."
arc,"дуга, радуга",B2,others,noun,rainbow's shape,форма радуги,21904.0,"Story has an arc, well an arc is a shape","У истории есть дуга, а дуга является формой."
motive,"мотив, причина, повод",B2,others,noun,His motive for helping was unclear.,Его мотивы помощи были неясными.,21904.0,So he had motive and opportunity,"Итак, у него были мотив и возможность."
provisional,предварительный,B2,others,adjective,provisional agreement,предварительное соглашение,21904.0,Dalglish signed a provisional contract with Celtic in May 1967,Далглиш подписал предварительный контракт с «Селтиком» в мае 1967 года.
quest,"поиск, искание",B2,others,noun,embark on a quest,начать поиск/поход,21904.0,That started our 15-year quest to get here,"Так начался поиск длиной в 15 лет, и вот мы здесь."
accompanying,сопровождающий,B2,others,adjective,accompanying music at the concert,сопровождающая музыка на концерте,21904.0,There is no accompanying letter or note,"К сожалению, сопроводительного письма или записки не сохранилось."
amid,среди,B2,others,preposition,amid the chaos,среди хаоса,21904.0,The choice came amid much controversy since she was neither British nor overweight,"Выбор прибыл среди большого противоречия, так как она не была ни британками, ни избыточным весом."
batch,"выпечка, партия, группа",B2,others,noun,a batch of cookies,партия печенья,21904.0,If it contains two defective units the batch is rejected,"Если он содержит не менее двух дефектных единиц продукции, то партия не принимается."
deliberate,"преднамеренный, намеренный, умышленный",B2,others,adjective,deliberate decision,сознательное решение,21904.0,It could even be deliberate sabotage,"Вполне возможно, что это - умышленный саботаж."
exempt,освобождать (от обязанности,B2,others,verb,exempt from taxes,освобождать от налогов,21904.0,Some assets and income may be exempt,В тоже время некоторое имущество и доходы можно исключить.
extending,распространение (продление),B2,others,verb,extending a deadline,продление срока,21904.0,I'd have no problem extending him,"Да, никаких проблем с его продлением не возникнет."
formerly,прежде,B2,others,adverb,formerly known as,ранее известный как,21904.0,It produces heat within this formerly cool nadi network,Это приводит к выделению тепла внутри этой прежде холодной сети нади.
glory,слава,B2,others,noun,the glory of victory,слава победы,21904.0,Sudden glory is the passion which maketh those grimaces called laughter,"«Внезапная слава есть страсть, производящая те гримасы, которые называются смехом."
hinder,"препятствовать, мешать, помешать",B2,others,verb,to hinder progress,мешать прогрессу,21904.0,He said it would hinder traffic,"Они, по его словам, будут мешать движению транспорта."
indirectly,"косвенно, опосредованно",B2,others,adverb,He indirectly hinted at the truth.,Он косвенно намекнул на правду.,21904.0,And others who indirectly smoke with you,"И других людей, которые косвенно курят с вами."
prevail,"преобладать, превалировать, доминировать",B2,others,verb,Justice will prevail.,Правосудие восторжествует.,21904.0,That racist approach cannot prevail in negotiation,Поэтому такой расистский подход не может преобладать на переговорах.
repetition,"повторение, повтор",B2,others,noun,avoid repetition in writing,избегать повторов в письменной речи,21904.0,"But, like anything, repetition breeds confidence","Но как и во всем в жизни, повторение позволяет расслабиться."
witch,"ведьма, колдунья, колдун",B2,others,noun,She is a witch.,Она ведьма.,21904.0,Looks like we got a witch here,"Выглядит, как будто, у нас здесь ведьма живет."
ruin,"разрушать, разорять, разрушить",B2,others,verb,to ruin someone's reputation,портить чью-то репутацию,21904.0,She even told that I can ruin my voice,"Мой дядя сказал мне, что я могу разрушить свою семью."
congratulate,"поздравлять, поздравить",B2,others,verb,congratulate someone on their success,поздравить кого-то с успехом,21904.0,You can congratulate us on this event here,"Ну что же, можно поздравить нас с этим событием."
dissatisfaction,"неудовлетворенность, недовольство, неудовлетворение",B2,others,noun,expressing dissatisfaction with the service,выражение недовольства услугой,21904.0,This causes delays and often even customer dissatisfaction,Это вызывает некоторые задержки в приеме и иногда недовольство клиентов.
drastically,"резко, значительно, кардинально",B2,others,adverb,Prices have increased drastically.,Цены значительно повысились.,21904.0,Prices have increased drastically.,Цены значительно повысились.
inconsistent,непоследовательный,B2,others,adjective,inconsistent results,непоследовательные результаты,21904.0,"Perhaps an inconsistent response, but there it is","Возможно, непоследовательный ответ, но так вот оно и есть."
triple,тройной,B2,others,adjective,triple chocolate cake,тройной шоколадный торт,21904.0,"The whole song has a double, even triple meaning","Любая картинка на сайте имеет двойной, а то и тройной смысл."
upgrade,"обновление, модернизация, повышение",B2,others,verb,to upgrade a computer,улучшить компьютер,21904.0,to upgrade a computer,улучшить компьютер
viewpoint,"точка зрения, точка обзора, позиция",B2,others,noun,different viewpoints on the issue,разные точки зрения на вопрос,21904.0,Such a viewpoint was both unproductive and erroneous,"Такая позиция является не только ошибочной, но и непродуктивной."
breakdown,"разбивка, распад, срыв",B2,others,noun,financial breakdown,финансовый разброс,21903.0,financial breakdown,финансовый разброс
miracle,чудо,B2,others,noun,a medical miracle,медицинское чудо,21903.0,Keep hoping for some miracle to happen..,"И будьте готовы к тому, что чудо произойдёт..."
predominantly,"преимущественно, преобладающе",B2,others,adverb,predominantly used in scientific research,преимущественно используется в научных исследованиях,21903.0,The victims are predominantly women and children,На этот раз речь идет преимущественно о женщинах и детях».
span,промежуток времени,B2,others,noun,span of control,контрольный интервал,21903.0,Those that span time and distance,"Есть то, что превозмогает время и расстояние."
thrust,"тяга, направленность, направление",B2,others,verb,thrust a knife,вонзить нож,21903.0,thrust a knife,вонзить нож
uncommon,"необычный, незаурядный, необыкновенный",B2,others,adjective,an uncommon occurrence,необычное явление,21903.0,But this is an uncommon year in American politics,"Я считаю, что это очень необычный год в американской политике."
bid,"заявка, предложение, ставка",B2,others,verb,submit a bid,подать заявку,21903.0,submit a bid,подать заявку
contradictory,противоречивый,B2,others,adjective,contradictory statements,противоречивые утверждения,21903.0,Time is a strangely contradictory concept,Время - это очень странное и противоречивое понятие.
creep,"ползучесть, гад, псих",B2,others,verb,to creep someone out,испугать кого-то,21903.0,to creep someone out,испугать кого-то
encouragement,"поощрение, стимулирование",B2,others,noun,She gave me encouragement.,Она поддержала меня.,21903.0,"All most need is a road map, encouragement and accountability","Всё, что больше всего нужно, это дорожная карта, поощрение и ответственность."
foremost,"основной, передовой, важнейший",B2,others,adjective,the foremost priority,наивысший приоритет,21903.0,the foremost priority,наивысший приоритет
horizontally,горизонтально,B2,others,adverb,The shelves are arranged horizontally.,Полки расположены горизонтально.,21903.0,Support laths swivelled horizontally for well pallets,Насадные планки повернуты горизонтально для перевозки поддонов с минеральной водой.
outline,набросок,B2,others,noun,provide an outline,предоставить контур,21903.0,An outline for the internal audit manual was also prepared,"Помимо этого, был подготовлен набросок справочника по вопросам проведения внутренних ревизий."
proudly,"гордо, горделиво",B2,others,adverb,She proudly displayed her artwork.,Она гордо выставила свои произведения искусства.,21903.0,"Then you can proudly call yourself a ""fresher""","И в скором времени вы сможете называть себя гордо - ""фрилансер""."
recipient,получатель,B2,others,noun,The recipient of the award,Получатель награды,21903.0,The recipient could simply refuse delivery,При этом получатель мог просто отказаться получить доставленное письмо.
